sensor,importance
sensor_11,0.4334388581359466
sensor_9,0.1272766687990988
sensor_4,0.0980042900058621
sensor_12,0.04793400810253741
sensor_14,0.04020087487227167
sensor_7,0.04007694599609115
sensor_15,0.035916999939850654
sensor_21,0.03459083215417873
sensor_3,0.03125403911681987
sensor_2,0.02989226223829333
sensor_20,0.025735219079324058
sensor_13,0.022629444806518077
sensor_8,0.02179141763381895
sensor_17,0.010489385282962851
sensor_6,0.0007687538364257103
sensor_5,0.0
sensor_1,0.0
sensor_10,0.0
sensor_16,0.0
sensor_19,0.0
sensor_18,0.0
